price,rooms,halls,area,orientation,decoration,floor_level,total_floor,building_type,community,subdistrict
1640000.0,3.0,2.0,91.23,"南,北,",精装,低,34.0,板楼,清能清江锦城三期,白沙洲 
1890000.0,3.0,2.0,122.82,"南,北,",精装,高,24.0,板楼,东原乐见城二期,珞狮南路 
1740000.0,3.0,2.0,97.7,"西南,",精装,中,32.0,,保利心语八期,珞狮南路 
1600000.0,3.0,2.0,116.79,"南,北,",简装,中,8.0,板楼,鹏程花园,徐东 
1120000.0,2.0,1.0,82.74,"南,",精装,低,34.0,板楼,万科金色城市18地块,白沙洲 
1290000.0,2.0,2.0,72.49,"南,",精装,高,34.0,塔楼,华润紫云府一期,白沙洲 
3050000.0,3.0,2.0,122.85,"南,北,",精装,高,29.0,,保利城三期,团结大道 
1650000.0,3.0,2.0,103.18,"西南,",,低,34.0,塔楼,世茂云锦玉海园,白沙洲 
1310000.0,2.0,2.0,99.16,"南,",精装,中,28.0,板楼,东方玉龙居,青山 
1600000.0,2.0,1.0,89.11,"南,",精装,低,31.0,板楼,花样年花郡二期,团结大道 
1250000.0,2.0,2.0,77.53,"南,",精装,低,34.0,板楼,佳兆业金域天下一期,白沙洲 
1350000.0,2.0,2.0,86.87,"东南,",精装,低,33.0,板楼,瑞湖天地,珞狮南路 
1790000.0,3.0,1.0,107.27,"南,北,",精装,中,48.0,,东原启城三/四期,白沙洲 
2580000.0,4.0,2.0,141.98,"东南,",精装,中,46.0,板楼,万科城市之光,白沙洲 
2050000.0,3.0,2.0,126.05,"南,",毛坯,低,48.0,板楼,中建铂公馆,白沙洲 
2070000.0,3.0,2.0,93.57,"南,",精装,中,34.0,塔楼,保利中央公馆,新南湖 
1930000.0,3.0,2.0,96.31,"南,",精装,高,34.0,塔楼,保利中央公馆,新南湖 
1780000.0,3.0,1.0,101.31,"南,",精装,,,板楼,泰然南湖玫瑰湾三期,珞狮南路 
2530000.0,3.0,2.0,116.66,"南,",精装,高,10.0,板楼,大华南湖公园世家一期,珞狮南路 
1750000.0,3.0,2.0,102.22,"南,",毛坯,中,33.0,,金地西岸故事,珞狮南路 
645000.0,2.0,1.0,54.59,"东南,",精装,高,13.0,板楼,佳兆业金域天下二期,白沙洲 
1940000.0,3.0,2.0,123.33,"南,",简装,中,6.0,板楼,南苑花园,卓刀泉 
1980000.0,3.0,2.0,108.23,"南,",精装,高,33.0,板楼,东原启城二期,白沙洲 
1860000.0,3.0,2.0,112.68,"南,北,",精装,中,45.0,板楼,东原启城一期,白沙洲 
2170000.0,4.0,2.0,138.01,"南,北,",毛坯,中,47.0,塔楼,东原启城一期,白沙洲 
3350000.0,3.0,2.0,122.07,"南,北,",精装,低,18.0,板楼,保利华都,虎泉杨家湾 
1148000.0,3.0,2.0,85.65,"南,北,",精装,高,32.0,板楼,东原湖光里,黄家湖 
1580000.0,3.0,2.0,87.06,"南,北,",精装,低,34.0,板楼,复地悦城一期西区,白沙洲 
1680000.0,3.0,2.0,97.21,"南,北,",精装,低,47.0,塔楼,东原启城一期,白沙洲 
1495000.0,3.0,2.0,95.31,"南,",毛坯,中,34.0,,保利上城,白沙洲 
1750000.0,3.0,2.0,90.41,"南,北,",精装,高,18.0,,保利心语三期,珞狮南路 
1430000.0,3.0,2.0,83.25,"南,北,",精装,低,27.0,板楼,东原湖光里,黄家湖 
1160000.0,3.0,2.0,127.23,"南,北,",精装,高,7.0,板楼,金鹤园小区,青山 
1580000.0,4.0,2.0,133.47,"南,北,",精装,低,11.0,板楼,新鑫佳苑,白沙洲 
1859000.0,3.0,2.0,109.77,"南,",精装,低,40.0,,保利上城西区,白沙洲 
1780000.0,3.0,2.0,113.08,"南,北,",毛坯,高,32.0,塔楼,东原启城一期,白沙洲 
1790000.0,3.0,1.0,90.61,"南,北,",精装,低,34.0,板楼,保利心语十期,珞狮南路 
1750000.0,3.0,2.0,138.78,"南,北,",简装,中,25.0,板楼,华大家园,珞狮南路 
1790000.0,3.0,2.0,97.23,"南,",精装,中,40.0,,保利上城西区,白沙洲 
2510000.0,3.0,2.0,113.73,"南,北,",毛坯,中,34.0,塔楼,保利中央公馆,新南湖 
3000000.0,3.0,2.0,117.37,"南,北,",简装,低,6.0,板楼,金地格林小城美茵区,新南湖 
2980000.0,3.0,2.0,130.46,"南,",简装,低,18.0,板楼,保利华都,虎泉杨家湾 
1665000.0,3.0,2.0,90.89,"南,",精装,高,18.0,塔楼,保利心语二期,珞狮南路 
1690000.0,3.0,2.0,97.09,"南,",精装,中,45.0,板楼,东原启城一期,白沙洲 
1595000.0,3.0,2.0,89.32,"南,北,",精装,中,11.0,板楼,保利心语三期,珞狮南路 
1780000.0,3.0,2.0,96.47,"南,",精装,高,44.0,板楼,保利新武昌K4地块,白沙洲 
1900000.0,3.0,2.0,107.1,"南,北,",精装,低,33.0,板楼,东原启城二期,白沙洲 
1490000.0,3.0,2.0,114.13,"南,北,",简装,低,11.0,,澜花语岸,珞狮南路 
1820000.0,3.0,2.0,93.79,"南,北,",精装,低,33.0,塔楼,保利中央公馆,新南湖 
2290000.0,4.0,1.0,121.23,"南,北,",简装,高,24.0,,保利心语七期,珞狮南路 
3550000.0,3.0,2.0,123.3,"南,北,",简装,高,32.0,板楼,保利华都,虎泉杨家湾 
3500000.0,3.0,2.0,113.81,"南,北,",精装,高,18.0,板楼,保利华都,虎泉杨家湾 
2100000.0,4.0,2.0,116.1,"南,",精装,中,48.0,塔楼,东原启城一期,白沙洲 
2130000.0,3.0,1.0,107.51,"南,北,",精装,高,33.0,板楼,保利心语四期,珞狮南路 
1480000.0,3.0,2.0,101.01,"南,北,",简装,低,24.0,板楼,泰然南湖玫瑰湾二期,珞狮南路 
1660000.0,3.0,2.0,92.56,"西南,",精装,高,34.0,板楼,复地悦城一期西区,白沙洲 
3080000.0,3.0,2.0,124.27,"南,北,",简装,中,46.0,板楼,中建南湖壹号,珞狮南路 
2450000.0,4.0,2.0,131.44,"南,北,",精装,中,16.0,,丽岛紫园,珞狮南路 
770000.0,2.0,1.0,67.27,"南,北,",简装,高,7.0,板楼,武泰闸花园小区,白沙洲 
3100000.0,3.0,2.0,124.2,"南,北,",精装,低,42.0,塔楼,中建南湖壹号,珞狮南路 
1230000.0,2.0,1.0,74.98,"东南,",精装,高,34.0,板楼,保利公园九里,老南湖 
1420000.0,2.0,1.0,68.99,"南,",简装,高,24.0,板楼,保利心语六期,珞狮南路 
1280000.0,2.0,2.0,85.93,"南,",简装,高,33.0,,华腾园,徐东 
2850000.0,3.0,2.0,90.53,"南,",,高,31.0,板楼,春天里,老南湖 
2048000.0,3.0,2.0,100.83,"南,",,高,44.0,板楼,保利新武昌K4地块,白沙洲 
1538000.0,3.0,2.0,108.63,"南,",,低,8.0,板楼,徐东四期公寓,徐东 
2050000.0,3.0,1.0,113.38,"东南,",精装,中,32.0,板楼,世茂云锦樱海园,白沙洲 
1450000.0,3.0,2.0,91.81,"南,",精装,低,17.0,板楼,江南·新天地(洪山),团结大道 
1460000.0,3.0,2.0,90.03,"南,北,",精装,中,34.0,板楼,万科金色城市K3地块,白沙洲 
1650000.0,4.0,2.0,154.14,"南,北,",简装,高,32.0,塔楼,御景名门,街道口 
1300000.0,1.0,1.0,53.54,"北,",简装,高,31.0,,领秀城,卓刀泉 
1650000.0,3.0,2.0,89.76,"南,",毛坯,高,34.0,板楼,保利公园九里,老南湖 
940000.0,2.0,1.0,83.28,"南,北,",简装,,,塔楼,福星惠誉东澜岸,白沙洲 
1490000.0,2.0,1.0,77.41,"南,",精装,低,31.0,板楼,保利拉菲,卓刀泉 
2130000.0,2.0,2.0,96.0,"南,",精装,中,16.0,板楼,城投瀚城,卓刀泉 
3490000.0,5.0,1.0,125.76,"南,北,",精装,高,9.0,板楼,美林青城,杨园 
1890000.0,3.0,2.0,94.74,"南,北,",精装,中,32.0,,保利心语八期,珞狮南路 
2250000.0,3.0,2.0,116.16,"北,南,",精装,低,16.0,,丽岛紫园,珞狮南路 
1450000.0,2.0,1.0,76.43,"南,",精装,高,26.0,板楼,爱家皇家公馆,团结大道 
2460000.0,4.0,2.0,130.48,"南,北,",精装,低,12.0,板楼,丽岛紫园,珞狮南路 
1370000.0,2.0,2.0,67.35,"南,",精装,中,32.0,塔楼,保利心语七期,珞狮南路 
1490000.0,2.0,1.0,75.58,"西南,",精装,中,29.0,,金地自在城,团结大道 
750000.0,2.0,1.0,75.78,"南,",简装,低,24.0,板楼,湘龙鑫城,白沙洲 
990000.0,2.0,1.0,58.22,"南,",简装,中,18.0,板楼,华腾园,徐东 
1120000.0,2.0,1.0,81.81,"南,",简装,高,34.0,,万科金色城市18地块,白沙洲 
1600000.0,4.0,2.0,103.59,"南,北,",精装,中,11.0,板楼,东原湖光里,黄家湖 
1250000.0,3.0,2.0,124.24,"南,",毛坯,高,33.0,板楼,南国都市,白沙洲 
950000.0,3.0,2.0,94.4,"南,",毛坯,中,30.0,板楼,彩虹郡,黄家湖 
1190000.0,3.0,1.0,102.84,"东南,",简装,低,30.0,,铁机盛世家园,东湖东亭 
1120000.0,2.0,2.0,93.17,"东南,",简装,中,23.0,板楼,东方玉龙居,青山 
